STOP_SIGNAL_TASK task	01/01/1900 11:08:50	Subject ID: 000055417875	Task type: Scanning	
Trial	Trial Category	Trial Start Time (Onset)	Pre-determined/randomised onset	Go Stimulus Presentation Time 	Stimulus Presented	Delay	Stop Stimulus Presentation Time	Response made by subject	Absolute Response Time	Relative Response Time	Response Outcome	Real Jitter	Pre-determined Jitter	Success Rate of Variable Delay Stop Trials	Scanner Pulse	
1	GO	0	0	4	RightArrow						GO_TOO_LATE	0	965		5	
2	GO	1965	1965	1968	LeftArrow			B	2415	447	GO_SUCCESS	957.75	883		2199	
3	GO	3848	3848	3851	RightArrow			C	4192	341	GO_SUCCESS	873.25	879		4399	
4	GO	5727	5727	5730	LeftArrow			B	6063	333	GO_SUCCESS	873.25	1041		6607	
5	GO	7768	7768	7771	LeftArrow			B	8151	380	GO_SUCCESS	1030.75	729		8807	
6	GO	9497	9497	9500	LeftArrow			B	10023	523	GO_SUCCESS	722.75	962		11007	
7	GO	11459	11459	11462	RightArrow			C	11743	281	GO_SUCCESS	951.5	1031		13207	
8	STOP_VAR	13490	13490	13493	RightArrow	150	13647				STOP_SUCCESS	1024.25	938	100.00	13207	
9	GO	15428	15428	15431	RightArrow			C	15800	369	GO_SUCCESS	931.5	788		15432	
10	GO	17216	17216	17219	RightArrow			C	17567	348	GO_SUCCESS	783	710		17607	
11	GO	18926	18926	18929	RightArrow			C	19287	358	GO_SUCCESS	699.5	744		19807	
12	GO	20670	20670	20673	LeftArrow			B	21103	430	GO_SUCCESS	738	954		22007	
13	STOP_VAR	22624	22624	22627	RightArrow	200	22830				STOP_SUCCESS	943.5	946	100.00	24207	
14	GO	24570	24570	24573	LeftArrow			B	25007	434	GO_SUCCESS	943.5	927		24207	
15	GO	26497	26497	26500	RightArrow			C	26887	387	GO_SUCCESS	916.25	951		26501	
16	GO	28448	28448	28451	LeftArrow			B	28855	404	GO_SUCCESS	944.25	786		28607	
17	STOP_VAR	30234	30234	30237	LeftArrow	250	30490	B	30663	426	STOP_FAILURE	775.5	956	66.67	30815	
18	GO	32190	32190	32193	LeftArrow			B	32631	438	GO_SUCCESS	1396	1091		33015	
19	GO	34281	34281	34284	LeftArrow			B	34799	515	GO_SUCCESS	1080.25	987		35215	
20	GO	36268	36268	36271	RightArrow			C	36567	296	GO_SUCCESS	980.25	884		37415	
21	STOP_VAR	38152	38152	38155	LeftArrow	300	38458	B	38591	436	STOP_FAILURE	874	943	50.00	37415	
22	GO	40095	40095	40098	LeftArrow			B	40431	333	GO_SUCCESS	1332.25	730		40099	
23	GO	41825	41825	41828	RightArrow						GO_TOO_LATE	719.5	919		41829	
24	GO	43744	43744	43747	LeftArrow			B	44127	380	GO_SUCCESS	916.25	830		44015	
25	GO	45574	45574	45577	LeftArrow			B	46031	454	GO_SUCCESS	819.5	839		46215	
26	GO	47413	47413	47416	RightArrow			C	47983	567	GO_SUCCESS	832.25	973		48415	
27	GO	49386	49386	49389	RightArrow			C	49783	394	GO_SUCCESS	962.75	941		50623	
28	GO	51327	51327	51330	LeftArrow			B	51759	429	GO_SUCCESS	934.75	1057		52815	
29	STOP_VAR	53384	53384	53387	LeftArrow	300	53690	B	53791	404	STOP_FAILURE	1046.75	752	40.00	52815	
30	GO	55136	55136	55139	RightArrow			B	55431	292	GO_WRONG_KEY_RESPONSE	1142	913		55140	
31	GO	57049	57049	57052	RightArrow			C	57463	411	GO_SUCCESS	902.75	918		57215	
